zinc_id,smiles,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumValenceElectrons,NumChiralCentersUnassigned,NumChiralCentersAssigned,QED
ZINC000026664090,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1,670.855,3.0924,166.75,5,7,12,5,180,6,6,0.197502071218835
ZINC000000001370,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,294.745,3.2717,43.07,0,4,1,4,77,0,0,0.691129049070368
ZINC000003830958,COCC(=O)Nc1c(I)c(C(=O)NC[C@H](O)CO)c(I)c(C(=O)N(C)C[C@@H](O)CO)c1I,791.115,-0.4065,168.66,6,8,11,1,100,2,2,0.164792165548617
ZINC000001531036,O=C(O)CCCCCCCC(=O)O,188.223,1.8863,74.6,2,2,8,0,44,0,0,0.570181594548601
ZINC000008577218,Nc1nc(O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2n1,441.404,0.367500000000001,213.54,6,10,9,3,109,1,1,0.265504820127406
ZINC000101489663,CC(C)[C@@H]1CC[C@H](C(=O)N[C@H](Cc2ccccc2)C(=O)O)CC1,317.429,3.2609,66.4,2,2,6,2,85,1,1,0.84606108966049
ZINC000003833821,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO,360.45,1.5576,94.83,3,5,2,4,94,7,7,0.694611675294317
ZINC000100016058,CCC[C@@]1(CCc2ccccc2)CC(O)=C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,602.675,7.32550000000001,105.59,2,6,11,4,149,2,2,0.222836763027958
ZINC000008466459,CN[C@H](C)Cc1ccccc1,149.237,1.837,12.03,1,1,3,1,43,1,1,0.691108550928469
ZINC000169621220,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O,665.733,0.119700000000003,230.99,7,13,3,4,161,14,14,0.156888874634877
ZINC000000968233,O=C(c1ccccc1)c1ccccc1,182.222,2.9176,17.07,0,1,2,2,54,0,0,0.652473286664759
ZINC000001843047,Cc1ncc([N+](=O)[O-])n1C[C@H](C)O,185.183,0.48052,81.19,1,5,3,1,43,1,1,0.548158982504083
ZINC000001690604,C[C@H](N)Cc1ccc(O)cc1,151.209,1.2819,46.25,2,2,2,1,41,1,1,0.668495913791113
ZINC000169289767,Cc1cc(-c2ccc(/N=N/c3c(S(=O)(=O)O)cc4cc(S(=O)(=O)O)cc(N)c4c3O)c(C)c2)ccc1/N=N/c1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(N)c2c1O,872.894,6.67004000000001,359.42,8,16,9,6,206,0,0,0.0426817193226967
ZINC000000003642,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,287.359,3.383,62.32,2,2,4,3,77,1,1,0.90578428817903
ZINC000003806063,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,495.542,3.0711,97.05,3,6,13,3,120,1,1,0.369831259986321
ZINC000000968336,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,325.496,5.34142000000001,23.47,1,2,7,2,93,1,1,0.742339965191979
ZINC000003843378,COC(=O)/C=C/C(=O)OC,144.126,-0.1114,52.6,0,4,2,0,32,0,0,0.400477022695007
ZINC000150339323,CC(=O)N(C[C@H](O)CO)c1c(I)c(C(=O)NC[C@@H](O)CO)c(I)c(C(=O)NC[C@@H](O)CO)c1I,821.141,-1.6275,199.89,8,9,12,1,106,3,3,0.11425581094764
ZINC000169289388,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,914.187,6.18060000000001,195.43,3,13,6,4,233,15,15,0.155511239981953
ZINC000003781664,CCCN[C@H]1CCc2nc(N)sc2C1,211.334,1.5822,50.94,2,4,3,2,51,1,1,0.797872684562988
ZINC000000968326,CCc1ccc(CCOc2ccc(C[C@@H]3SC(=O)NC3=O)cc2)nc1,356.447,3.1596,68.29,1,5,7,3,90,1,1,0.825253909812776
ZINC000002525885,CN(C)C[C@@H](c1ccc(O)cc1)C1(O)CCCCC1,263.381,2.7326,43.7,2,3,4,2,71,1,1,0.877581687482169
ZINC000001530977,CN(C/C=C/c1ccccc1)Cc1cccc2ccccc12,287.406,4.985,3.24,0,1,5,3,87,0,0,0.639079172513227
ZINC000100024116,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl,290.832,3.6444,0,0,0,0,1,30,0,0,0.597603942176168
ZINC000004474603,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,302.458,5.99270000000001,37.3,1,1,13,0,84,0,0,0.334817657905108
ZINC000256433948,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@@H]3CC[C@]21CC,327.468,4.1437,52.82,2,3,1,4,91,6,6,0.431839522666792
ZINC000004217475,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,342.297,-5.39559999999999,189.53,8,11,5,2,70,9,9,0.23789143451935
ZINC000254134439,C/C=C1\NC(=O)[C@H]2CSSCCC=C[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,540.708,1.4296,142.7,4,8,2,2,124,4,4,0.178338586043262
ZINC000000518554,OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,272.253,-1.4291,119.61,5,7,3,2,62,5,5,0.45739096485342
ZINC000001542113,N#Cc1ccc2[nH]cc(CCCCN3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1,441.535,4.02958,102.29,2,5,7,5,123,0,0,0.42169344518712
ZINC000019364225,NCCNCCNCCN,146.238,-1.917,76.1,4,4,7,0,36,0,0,0.315925975971241
ZINC000003800475,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O,390.52,3.5832,86.99,3,4,10,3,102,5,5,0.531665723285843
ZINC000000643114,C[C@@H]1Cc2ccccc2N1NC(=O)c1ccc(Cl)c(S(N)(=O)=O)c1,365.842,2.0834,92.5,2,4,3,3,86,1,1,0.870524945064654
ZINC000003881640,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,370.489,4.1852,60.44,0,4,2,4,100,6,6,0.68412755101383
ZINC000003798537,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,452.595,5.21990000000001,78.87,2,4,10,3,122,1,1,0.516689313234043
ZINC000001529323,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,454.447,0.268400000000001,210.54,5,10,9,3,114,1,1,0.294720345049274
ZINC000003925861,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,492.591,5.62950000000001,77.52,1,5,5,5,131,7,7,0.547646014610155
ZINC000004978673,CCCCCCCCCCCCCCCCCC(=O)O,284.484,6.33250000000001,37.3,1,1,16,0,76,0,0,0.336041978592272
ZINC000000968275,C[C@H](CN(C)C)CN1c2ccccc2CCc2ccccc21,294.442,4.121,6.48,0,2,4,3,86,1,1,0.836647355775351
ZINC000100037855,C/C=C(/C)C(=O)O[C@H]1C(C)=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]12O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,430.541,2.3323,104.06,3,6,3,4,112,8,8,0.360698048943009
